AccreditingBodyName,AccreditionType,HEP,KisCourseTitle,KiscourseID
A Greener Festival,A Greener Festival is recognised around the world by the event and festival industry and academia for its work in helping events and festivals to reduce their environmental impact. Accreditation by A Greener Festival means that this course provides students with the level and depth of theory and knowledge of current practice required by environmental practitioners in the event industry both in the UK and internationally.,(10008640) Falmouth University,BA (Hons) Creative Events Management,BACEMFFU01
A Greener Festival,A Greener Festival is recognised around the world by the event and festival industry and academia for its work in helping events and festivals to reduce their environmental impact. Accreditation by A Greener Festival means that this course provides students with the level and depth of theory and knowledge of current practice required by environmental practitioners in the event industry both in the UK and internationally.,(10008640) Falmouth University,BA (Hons) Creative Events Management with Professional Practice,BACEMFSU01
A Greener Festival,A Greener Festival is recognised around the world by the event and festival industry and academia for its work in helping events and festivals to reduce their environmental impact. Accreditation by A Greener Festival means that this course provides students with the level and depth of theory and knowledge of current practice required by environmental practitioners in the event industry both in the UK and internationally.,(10008640) Falmouth University,BA (Hons) Sustainable Festival Management,BASUSFFFU02
A Greener Festival,A Greener Festival is recognised around the world by the event and festival industry and academia for its work in helping events and festivals to reduce their environmental impact. Accreditation by A Greener Festival means that this course provides students with the level and depth of theory and knowledge of current practice required by environmental practitioners in the event industry both in the UK and internationally.,(10008640) Falmouth University,BA (Hons) Sustainable Festival Management with Professional Placement,BASUSFFSU01
A Greener Festival,A Greener Festival is recognised around the world by the event and festival industry and academia for its work in helping events and festivals to reduce their environmental impact. Accreditation by A Greener Festival means that this course provides students with the level and depth of theory and knowledge of current practice required by environmental practitioners in the event industry both in the UK and internationally.,(10008640) Falmouth University,BA (Hons) Sustainable Tourism Management with Professional Placement,BASUSTFSU01
Academy of Pharmaceutical Sciences ,"Accredited by the Academy of Pharmaceutical Sciences. The programme has been assessed in terms of content, structure and resources for suitability for employment in the pharmaceutical and related industries and has met the required educational standards.",(10003678) Kingston University,BSc (Hons) Pharmaceutical Science with Regulatory Affairs,UFPSR1PSR20
Academy of Pharmaceutical Sciences ,"Accredited by the Academy of Pharmaceutical Sciences. The programme has been assessed in terms of content, structure and resources for suitability for employment in the pharmaceutical and related industries and has met the required educational standards.",(10003678) Kingston University,BSc (Hons) Pharmaceutical Science with Regulatory Affairs,USPSR1PSR45
Academy of Pharmaceutical Sciences ,"Accredited by the Academy of Pharmaceutical Sciences. The programme has been assessed in terms of content, structure and resources for suitability for employment in the pharmaceutical and related industries and has met the required educational standards.",(10004048) London Metropolitan University,BSc (Hons) Pharmaceutical Science,UDPHMSCI
Academy of Pharmaceutical Sciences ,"Accredited by the Academy of Pharmaceutical Sciences. The programme has been assessed in terms of content, structure and resources for suitability for employment in the pharmaceutical and related industries and has met the required educational standards.",(10004048) London Metropolitan University,BSc (Hons) Pharmaceutical Science,UDPHMSCI
Academy of Pharmaceutical Sciences ,"Accredited by the Academy of Pharmaceutical Sciences. The programme has been assessed in terms of content, structure and resources for suitability for employment in the pharmaceutical and related industries and has met the required educational standards.",(10004048) London Metropolitan University,MSci (Hons) Pharmaceutical Science,UDPHASCA
